Website;Privacy_Link;Privacy_Status;ToS_Link;ToS_Status;Privacy_Selector;Privacy_Remove;ToS_Selector;ToS_Remove
telekom.de;https://www.telekom.de/datenschutzhinweise/download/051.pdf;200;https://www.telekom.de/datenschutzhinweise/download/051.pdf;200;::PDF::;;::PDF::;
google.de;https://google.de/intl/de/policies/privacy/;200;https://google.de/intl/de/policies/terms/;200;body;;body;
amazon.de;https://amazon.de/gp/help/customer/display.html?nodeId=201909010&ref_=footer_privacy;200;https://amazon.de/gp/help/customer/display.html?nodeId=201909000&ref_=footer_cou;200;;;;
rzone.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
t-online.de;https://t-online.de/#datenschutz-manager;200;Nicht gefunden;n/a;div.border-y;article.relative > div > script, nav.grid, header.grid, div.style_footballCompetitionOverview__Y0mi3 > header, div#nativendo-stage-breit-2 > svg, div.mr-16 > svg, div.ml-24 > svg, div.hidden > svg, div#nativendo-side-1-1 > svg, div#nativendo-side-1-2 > svg, div#nativendo-side-1-3 > svg, div#nativendo-side-1-4 > svg, div#nativendo-side-1-5 > svg, div#nativendo-side-1-6 > svg, div#nativendo-side-1-7 > svg, div#nativendo-side-1-8 > svg, div#nativendo-side-1-9 > svg, div#nativendo-side-1-10 > svg, div#nativendo-side-1-11 > svg, div#nativendo-side-1-12 > svg, div#nativendo-side-1-13 > svg, div#nativendo-side-1-14 > svg, div#nativendo-side-1-15 > svg, div#nativendo-side-1-16 > svg, div.style_logoWrapper__bynoI > svg, button.style_button__H1ACJ > svg, button.style_previous__8YQay > svg, div.style_dropdownLabel__ZJCYr > svg, button.style_next__51fC5 > svg, div.style_button__D8onx > svg, div#nativendo-container-telekom-empfiehlt-1 > svg, div.style_expandableContainer__lq2SM > label > svg, div.style_topLine__jg5oJ > div > svg, div.style_chart__mpe_C > svg, svg.w-full, aside.shrink-0, aside.shrink-0 > div > aside, aside.p-12, aside.px-24, div.border-solid > aside, aside.py-16, div.relative > div, ul.absolute, div.style_slidingContainer__TJT9f;;
spiegel.de;https://www.spiegel.de/datenschutz-spiegel;200;https://www.spiegel.de/nutzungsbedingungen;200;div.lg:mt-32 > div;svg#spon-chevron-up-f-m, svg#spon-chevron-down-f-m, span.shrink-0 > span > svg, span.leading-none > svg, svg#spon-external-flag-m, svg.align-middle, svg#spon-end-mark-l;div.RichText;svg#spon-mm-flag-l, svg#spon-11f-flag-l, svg.align-middle, svg#spon-external-flag-l, svg#spon-end-mark-l
welt.de;https://ec.europa.eu/info/sites/default/files/1_de_annexe_acte_autonome_cp_part1_v3.pdf;200;https://www.welt.de/bin/190129_WeltN24_AGB-Honorarregelungen_01-2019.pdf_bn-188589821.pdf;200;::PDF::;;::PDF::;
bild.de;https://cdn.klarna.com/1.0/shared/content/policy/data/de_de/data_protection.pdf;200;https://www.bild.de/corporate-site/agb/bild-de/artikel-agb-2952414.bild.html;200;::PDF::;;article;
otto.de;https://d.otto.de/files/anfrageformular_ottopayments_otto.de.pdf;200;https://d.otto.de/files/20250901_Widerrufsbelehrung_OTTO.pdf;200;::PDF::;;::PDF::;
ebay.de;https://static.ebayinc.com/assets/Uploads/Documents/Responsible-AI-Policy.pdf;200;https://ir.ebaystatic.com/cr/v/c01/help/policy/policy/AGB_DE_2024.pdf;200;::PDF::;;::PDF::;
focus.de;https://www.focus.de/intern/datenschutzerklaerung-datenschutzerklaerung-fuer-die-webseite-www-focus-de_id_6846331.html;200;https://www.focus.de/intern/agb-der-focus-online-group-gmbh-agb-focus-online-group-gmbh_id_10064693.html;200;div#page-view;main.Static-Page-Wrapper > div > script, main.Static-Page-Wrapper > div > style, div.Header-Wrapper > div > nav, nav.Footer-Subframe-Links, div.Grid-Wrapper-Footer > nav, nav.Footer-Partner, footer.Footer, header.Header, div.col-xs-12 > header, meta#icon-set-name, div.hidden-lg > svg, div.Header-Logo > a > svg, li.gutscheine > a > svg, li.abo > a > svg, li.list > a > svg, li.facebook > a > svg, li.twitter > a > svg, div.Header-Inner > div > div > a > svg, div.Header-Inner > div > div > div > svg, div.Header-Inner > div > div > div > ul > li > div > svg, div.hidden > svg, svg.Footer-Icon-Svg, a.Footer-Install-Button > svg, div.Header-Wrapper > div > nav > div, div.hidden-lg, li.gutscheine > a, li.abo > a, li.list > a, li.facebook > a, li.twitter > a, div.Header-Wrapper > div, div.Header-Wrapper > div > div, div.Grid-Wrapper-Header > div, div.Grid-Wrapper-Header > div > span, div.Header-Inner > div, div.hidden-md, div.Header-Inner > div > div, div.Header-Inner > div > div > div, div.Header-Inner > div > div > div > a, div.Header-Inner > div > div > div > ul, div.Header-Inner > div > div > div > ul > li, div.Header-Inner > div > div > div > ul > li > div, div.Header-Inner > div > div > div > ul > li > div > a, div.hidden, div.hidden > div, div.hidden > div > ul, div.hidden > div > ul > li > a, a.Ad-Link, div.ppolicy > div, div.Grid-Wrapper-Headerxx > div, div.Grid-Wrapper-Headerxx > div > a;div#page-view;main.Static-Page-Wrapper > div > script, div.Header-Wrapper > div > nav, nav.Footer-Subframe-Links, div.Grid-Wrapper-Footer > nav, nav.Footer-Partner, footer.Footer, header.Header, div.col-xs-12 > header, meta#icon-set-name, div.hidden-lg > svg, div.Header-Logo > a > svg, li.gutscheine > a > svg, li.abo > a > svg, li.list > a > svg, li.facebook > a > svg, li.twitter > a > svg, div.Header-Inner > div > div > a > svg, div.Header-Inner > div > div > div > svg, div.Header-Inner > div > div > div > ul > li > div > svg, div.hidden > svg, svg.Footer-Icon-Svg, a.Footer-Install-Button > svg, div.Header-Wrapper > div > nav > div, div.hidden-lg, li.gutscheine > a, li.abo > a, li.list > a, li.facebook > a, li.twitter > a, div.Header-Wrapper > div, div.Header-Wrapper > div > div, div.Grid-Wrapper-Header > div, div.Grid-Wrapper-Header > div > span, div.Header-Inner > div, div.hidden-md, div.Header-Inner > div > div, div.Header-Inner > div > div > div, div.Header-Inner > div > div > div > a, div.Header-Inner > div > div > div > ul, div.Header-Inner > div > div > div > ul > li, div.Header-Inner > div > div > div > ul > li > div, div.Header-Inner > div > div > div > ul > li > div > a, div.hidden, div.hidden > div, div.hidden > div > ul, div.hidden > div > ul > li > a, a.Ad-Link
kleinanzeigen.de;Nicht gefunden;n/a;https://themen.kleinanzeigen.de/nutzungsbedingungen/;200;;;div.main;
n-tv.de;https://n-tv.de/ntvintern/Datenschutzerklaerung-article15745191.html;200;Nicht gefunden;n/a;div.wrapper-article;div.wrapper-article > div > div > div > div > a > svg, div.wrapper-article > div > div > div > div > button > svg, div.wrapper-article > div > div > button > svg, div.wrapper-article > div, div.wrapper-article > div > div, div.wrapper-article > div > div > div, div.wrapper-article > div > div > div > div, div.wrapper-article > div > div > div > div > a, div.wrapper-article > div > div > button, div.wrapper-article > div > div > div > a > img;;
merkur.de;https://www.merkur.de/ueber-uns/datenschutz/;200;https://www.merkur.de/ueber-uns/agb/;200;div.id-Container;article#id-js-Story > meta;div.id-Container;article#id-js-Story > meta
mobile.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
joyclub.de;https://www.joyclub.de/datenschutzerklaerung/;200;https://www.joyclub.de/nutzungsbedingungen/;200;div#cwide;;div#cwide;
ladies.de;https://ladies.de/nojs/datenschutz;200;Nicht gefunden;n/a;div.elementor-widget-container;div.elementor-widget-container > header, div.elementor-widget-container > header > header, div.elementor-widget-container > header > section > a;;
ndr.de;https://ndr.de/service/datenschutz;200;Nicht gefunden;n/a;article;header.articlehead, article > h2;;
bund.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
web.de;https://web.de/datenschutz/#.pc_page.homepage.index.footer_4.datenschutz;200;https://agb-server.web.de/webdeagb;200;div.grid;nav.fullwidth, footer#footer, header#header;div.grid;footer#footer, header#header
ioam.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
admatic.de;https://admatic.de/privacy-policy;200;Nicht gefunden;n/a;div.entry-content;;;
your-server.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
infonline.de;https://www.INFOnline.de/datenschutz;200;Nicht gefunden;n/a;div.elementor-widget-wrap;;;
heise.de;https://heise.de/hintergrund/Auslegungssache-Jahresrueckblick-Datenschutz-unter-Beschuss-11113304.html;200;Nicht gefunden;n/a;div.article-content;a-lightbox.a-u-inline-right > figure > div > a > noscript, div.opt-in__content-container > noscript, figure.branding > a > noscript, svg.curtain__logo, div.curtain__lead-image > svg, aside.curtain__gift-container;;
ccc.de;https://ccc.de/de/datenschutz;200;Nicht gefunden;n/a;div.article;;;
ddnss.de;https://ddnss.de/#;200;Nicht gefunden;n/a;body;body > div > script, nav.collapse, body > div > footer, body > header, li.dropdown > ul, body > div > div;;
strato.de;https://strato.de/datenschutz/;200;https://strato.de/_assets/pdf/de/Domainbedingungen.pdf;200;main;nav.sub-nav-wrapper, button.sub-nav__toggle > div;::PDF::;
zeit.de;https://datenschutz.zeit.de/zon/1.5/zon.pdf;200;https://www.zeit.de/administratives/muster-widerrufsformular.pdf;200;::PDF::;;::PDF::;
ionos.de;https://ionos.de/datenschutzerklaerung;200;https://www.digicert.com/content/dam/digicert/pdfs/legal/master-services-agreement-de.pdf;200;div#__next;div.tw-container > script, nav.tw-relative, div.tw-shadow-gray-500 > nav, footer.tw-bg-ionos-blue-700, div#burger-button > svg, svg#ICON, div.hover:tw-cursor-pointer;::PDF::;
mpg.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
kicker.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
zalando.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
sueddeutsche.de;https://www.sueddeutsche.de/sz/9.31/sz.pdf;200;https://www.sueddeutsche.de/sz_abo/2.1/sz_abo.pdf;200;::PDF::;;::PDF::;
telefonica.de;https://telefonica.de/datenschutz-portal;200;https://telefonica.de/file/public/465/Telefonica-Germany-Einkaufs-AGB-01-2018.pdf?attachment=1;200;div#c04_0;div#c04_0 > script, div#c04_0 > style;::PDF::;
tagesschau.de;https://tagesschau.de/datenschutz;200;Nicht gefunden;n/a;article.content-wrapper__group;div.meldungsfooter > nav, svg.icon, h2.meldung__subhead, div.meldungsfooter > nav > ul, div.meldungsfooter > nav > ul > li, a.tabfocus > span, button.tabfocus > span;;
second-ns.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
tagesspiegel.de;https://tagesspiegel.de/verlag-der-tagesspiegel-datenschutzerklarung-383383.html;200;Nicht gefunden;n/a;div#story-elements;;;
