Website;Privacy_Link;Privacy_Status;ToS_Link;ToS_Status
telekom.de;https://telekom.de/ueber-das-unternehmen/datenschutz#fragen-und-antworten;200;https://telekom.de/agb;200
google.de;https://google.de/intl/de/policies/privacy/;200;https://google.de/intl/de/policies/terms/;200
amazon.de;https://amazon.de/gp/help/customer/display.html?nodeId=201909010&ref_=footer_privacy;200;https://amazon.de/gp/help/customer/display.html?nodeId=201909000&ref_=footer_cou;200
rzone.de;Nicht gefunden;n/a;Nicht gefunden;n/a
t-online.de;https://t-online.de/#datenschutz-manager;200;Nicht gefunden;n/a
spiegel.de;https://www.spiegel.de/datenschutz-spiegel;200;https://www.spiegel.de/nutzungsbedingungen;200
welt.de;https://welt.de/services/article157550705/Datenschutzerklaerung-WELT-DIGITAL.html;200;https://welt.de/services/article122129231/Nutzungsbedingungen-WELT-Digital.html;200
bild.de;https://www.bild.de/corporate-site/datenschutz/datenschutz/artikel-datenschutz-54485502.bild.html;200;https://www.bild.de/corporate-site/agb/bild-de/artikel-agb-2952414.bild.html;200
otto.de;https://otto.de/service/datenschutz/;200;https://otto.de/service/agb/;200
ebay.de;https://www.ebay.de/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260;200;https://www.ebay.de/help/policies/member-behaviour-policies/user-agreement?id=4259;200
focus.de;https://www.focus.de/intern/datenschutzerklaerung-datenschutzerklaerung-fuer-die-webseite-www-focus-de_id_6846331.html;200;https://www.focus.de/intern/agb-der-focus-online-group-gmbh-agb-focus-online-group-gmbh_id_10064693.html;200
kleinanzeigen.de;Nicht gefunden;n/a;https://themen.kleinanzeigen.de/nutzungsbedingungen/;200
n-tv.de;https://n-tv.de/ntvintern/Datenschutzerklaerung-article15745191.html;200;Nicht gefunden;n/a
merkur.de;https://www.merkur.de/ueber-uns/datenschutz/;200;https://www.merkur.de/ueber-uns/agb/;200
mobile.de;Nicht gefunden;n/a;Nicht gefunden;n/a
joyclub.de;https://www.joyclub.de/datenschutzerklaerung/;200;https://www.joyclub.de/nutzungsbedingungen/;200
ladies.de;https://ladies.de/nojs/datenschutz;200;Nicht gefunden;n/a
ndr.de;https://ndr.de/service/datenschutz;200;Nicht gefunden;n/a
bund.de;Nicht gefunden;n/a;Nicht gefunden;n/a
web.de;https://web.de/datenschutz/#.pc_page.homepage.index.footer_4.datenschutz;200;https://agb-server.web.de/webdeagb;200
ioam.de;Nicht gefunden;n/a;Nicht gefunden;n/a
admatic.de;https://admatic.de/privacy-policy;200;Nicht gefunden;n/a
your-server.de;Nicht gefunden;n/a;Nicht gefunden;n/a
infonline.de;https://www.INFOnline.de/datenschutz;200;Nicht gefunden;n/a
heise.de;https://heise.de/hintergrund/Auslegungssache-Jahresrueckblick-Datenschutz-unter-Beschuss-11113304.html;200;Nicht gefunden;n/a
ccc.de;https://ccc.de/de/datenschutz;200;Nicht gefunden;n/a
ddnss.de;https://ddnss.de/#;200;Nicht gefunden;n/a
strato.de;https://strato.de/datenschutz/;200;https://strato.de/agb/;200
zeit.de;https://datenschutz.zeit.de/zon#Newsletter;200;https://www.zeit.de/administratives/agb-kommentare-artikel;200
ionos.de;https://ionos.de/datenschutzerklaerung;200;https://www.ionos.de/terms-gtc/terms;200
mpg.de;Nicht gefunden;n/a;Nicht gefunden;n/a
kicker.de;Nicht gefunden;n/a;Nicht gefunden;n/a
zalando.de;Nicht gefunden;n/a;Nicht gefunden;n/a
sueddeutsche.de;https://www.sueddeutsche.de/datenschutz;200;https://www.sueddeutsche.de/agb;200
telefonica.de;https://telefonica.de/datenschutz-portal;200;https://telefonica.de/agb.html;200
tagesschau.de;https://tagesschau.de/datenschutz;200;Nicht gefunden;n/a
second-ns.de;Nicht gefunden;n/a;Nicht gefunden;n/a
tagesspiegel.de;https://tagesspiegel.de/verlag-der-tagesspiegel-datenschutzerklarung-383383.html;200;Nicht gefunden;n/a
bahn.de;Nicht gefunden;n/a;Nicht gefunden;n/a
hosteurope.de;Nicht gefunden;n/a;Nicht gefunden;n/a
xplosion.de;https://www.emetriq.com/datenschutz/;200;https://www.emetriq.com/agb/;200
br.de;https://br.de/unternehmen/service/datenschutz/datenschutz-br-102.html;200;Nicht gefunden;n/a
zdf.de;https://zdf.de/datenschutz;200;https://zdf.de/nutzungsbedingungen;200
adscale.de;https://adscale.de/werben-mit-stroeer/onlinewerbung/crossmedia/stroeer-ssp/stroeer-ssp-datenschutz/;404;https://www.stroeer.de/agb/;200
stern.de;https://stern.de/javascript:document.querySelector('ws-sourcepoint')?.openModal();404;https://www.stern.de/agb-4541846.html;200
ardmediathek.de;Nicht gefunden;n/a;Nicht gefunden;n/a
chip.de;https://www.chip.de/intern/datenschutzerklaerung-chip_c7c1fa99-0613-448e-9dbd-6ebbeb5a0277.html;200;Nicht gefunden;n/a
webgo.de;Nicht gefunden;n/a;https://webgo.de/agb;200
e-recht24.de;https://e-recht24.de/muster-datenschutzerklaerung.html;200;https://e-recht24.de/agb/;200
