text_length,link_count,link_density,text_density,p_tag_count,dom_depth,tag_article,tag_main,tag_score,is_content
28093,360,0.20563841526358878,16.933694996986137,0,3,0,0,5,0
214,3,0.9906542056074766,26.75,0,5,0,0,-5,0
214,3,0.9906542056074766,30.571428571428573,0,6,0,0,0,0
214,3,0.9906542056074766,35.666666666666664,0,7,0,0,0,0
71,1,1.0,71.0,0,8,0,0,-5,0
80,1,1.0,80.0,0,8,0,0,-5,0
61,1,1.0,61.0,0,8,0,0,-5,0
5269,299,0.7876257354336687,4.82067703568161,0,6,0,0,0,0
5269,299,0.7876257354336687,4.825091575091575,0,7,0,0,-5,0
5122,290,0.7901210464662242,4.896749521988528,0,8,0,0,-5,0
463,27,0.7213822894168467,5.087912087912088,0,11,0,0,-5,0
463,27,0.7213822894168467,5.144444444444445,0,12,0,0,-5,0
41,0,0.0,10.25,0,13,0,0,-5,0
41,0,0.0,13.666666666666666,0,14,0,0,0,0
421,27,0.7933491686460807,5.011904761904762,0,13,0,0,-5,0
120,8,0.85,6.0,0,16,0,0,-5,0
120,8,0.85,6.0,0,16,0,0,-5,0
59,4,0.9491525423728814,4.916666666666667,0,16,0,0,-5,0
50,4,0.66,4.166666666666667,0,16,0,0,-5,0
1040,63,0.8471153846153846,5.174129353233831,0,11,0,0,-5,0
1040,63,0.8471153846153846,5.2,0,12,0,0,-5,0
27,0,0.0,6.75,0,13,0,0,-5,0
27,0,0.0,9.0,0,14,0,0,0,0
1012,63,0.8705533596837944,5.216494845360825,0,13,0,0,-5,0
140,9,0.9357142857142857,6.086956521739131,0,16,0,0,-5,0
128,8,0.8515625,6.095238095238095,0,16,0,0,-5,0
82,6,0.8048780487804879,5.125,0,16,0,0,-5,0
203,12,0.8866995073891626,5.970588235294118,0,16,0,0,-5,0
122,8,0.8524590163934426,6.1,0,16,0,0,-5,0
144,9,0.8680555555555556,6.545454545454546,0,16,0,0,-5,0
72,4,0.9583333333333334,2.88,0,14,0,0,0,0
72,4,0.9583333333333334,3.0,0,15,0,0,0,0
1076,66,0.8336431226765799,5.099526066350711,0,11,0,0,-5,0
1076,66,0.8336431226765799,5.123809523809523,0,12,0,0,-5,0
27,0,0.0,6.75,0,13,0,0,-5,0
27,0,0.0,9.0,0,14,0,0,0,0
1048,66,0.8559160305343512,5.137254901960785,0,13,0,0,-5,0
161,10,0.9316770186335404,6.1923076923076925,0,16,0,0,-5,0
124,9,0.8387096774193549,5.391304347826087,0,16,0,0,-5,0
93,7,0.8172043010752689,5.166666666666667,0,16,0,0,-5,0
238,13,0.8319327731092437,6.102564102564102,0,16,0,0,-5,0
99,7,0.8282828282828283,5.5,0,16,0,0,-5,0
144,9,0.8680555555555556,6.545454545454546,0,16,0,0,-5,0
68,4,0.9558823529411765,2.72,0,14,0,0,0,0
68,4,0.9558823529411765,2.8333333333333335,0,15,0,0,0,0
338,17,0.7544378698224852,4.172839506172839,0,11,0,0,-5,0
338,17,0.7544378698224852,4.225,0,12,0,0,-5,0
28,0,0.0,7.0,0,13,0,0,-5,0
28,0,0.0,9.333333333333334,0,14,0,0,0,0
309,17,0.8252427184466019,4.175675675675675,0,13,0,0,-5,0
167,8,0.7964071856287425,6.958333333333333,0,16,0,0,-5,0
63,4,0.9523809523809523,2.52,0,14,0,0,0,0
63,4,0.9523809523809523,2.625,0,15,0,0,0,0
915,53,0.8491803278688524,5.169491525423729,0,11,0,0,-5,0
915,53,0.8491803278688524,5.198863636363637,0,12,0,0,-5,0
28,0,0.0,7.0,0,13,0,0,-5,0
28,0,0.0,9.333333333333334,0,14,0,0,0,0
886,53,0.8769751693002258,5.211764705882353,0,13,0,0,-5,0
110,8,0.9363636363636364,5.5,0,16,0,0,-5,0
78,4,0.8205128205128205,6.5,0,16,0,0,-5,0
191,11,0.8848167539267016,6.161290322580645,0,16,0,0,-5,0
205,12,0.8878048780487805,6.212121212121212,0,16,0,0,-5,0
140,8,0.8714285714285714,7.0,0,16,0,0,-5,0
74,4,0.9594594594594594,2.96,0,14,0,0,0,0
74,4,0.9594594594594594,3.0833333333333335,0,15,0,0,0,0
480,29,0.8041666666666667,4.485981308411215,0,11,0,0,-5,0
480,29,0.8041666666666667,4.528301886792453,0,12,0,0,-5,0
32,0,0.0,8.0,0,13,0,0,-5,0
32,0,0.0,10.666666666666666,0,14,0,0,0,0
447,29,0.8635346756152126,4.47,0,13,0,0,-5,0
105,8,0.9333333333333333,5.25,0,16,0,0,-5,0
112,7,0.8482142857142857,6.222222222222222,0,16,0,0,-5,0
89,6,0.8202247191011236,5.5625,0,16,0,0,-5,0
72,4,0.9583333333333334,2.88,0,14,0,0,0,0
72,4,0.9583333333333334,3.0,0,15,0,0,0,0
342,16,0.6812865497076024,5.029411764705882,0,11,0,0,-5,0
342,16,0.6812865497076024,5.104477611940299,0,12,0,0,-5,0
33,0,0.0,8.25,0,13,0,0,-5,0
33,0,0.0,11.0,0,14,0,0,0,0
308,16,0.7564935064935064,5.049180327868853,0,13,0,0,-5,0
71,4,0.8169014084507042,5.916666666666667,0,16,0,0,-5,0
69,4,0.7971014492753623,5.75,0,16,0,0,-5,0
94,6,0.8297872340425532,5.875,0,16,0,0,-5,0
296,16,0.7736486486486487,4.553846153846154,0,11,0,0,-5,0
296,16,0.7736486486486487,4.625,0,12,0,0,-5,0
29,0,0.0,7.25,0,13,0,0,-5,0
29,0,0.0,9.666666666666666,0,14,0,0,0,0
266,16,0.8609022556390977,4.586206896551724,0,13,0,0,-5,0
71,4,0.8028169014084507,5.916666666666667,0,16,0,0,-5,0
100,6,0.95,7.142857142857143,0,16,0,0,-5,0
59,1,0.4067796610169492,5.363636363636363,0,11,0,0,-5,0
59,1,0.4067796610169492,5.9,0,12,0,0,-5,0
34,0,0.0,8.5,0,13,0,0,-5,0
34,0,0.0,11.333333333333334,0,14,0,0,0,0
106,6,0.7264150943396226,3.1176470588235294,2,8,0,0,-5,0
31,3,0.967741935483871,2.066666666666667,0,9,0,0,0,0
49,3,0.9591836734693877,3.2666666666666666,0,9,0,0,0,0
39,3,0.6666666666666666,4.333333333333333,0,8,0,0,-5,0
55,3,0.7636363636363637,4.583333333333333,0,6,0,0,-5,0
718,4,0.7980501392757661,3.248868778280543,0,4,0,0,0,0
718,4,0.7980501392757661,3.278538812785388,0,5,0,0,5,0
111,0,0.0,5.842105263157895,0,6,0,0,0,0
111,0,0.0,6.166666666666667,0,7,0,0,0,0
91,0,0.0,5.6875,8,8,0,0,0,0
606,4,0.9455445544554455,3.1076923076923078,0,6,0,0,0,0
606,4,0.9455445544554455,3.1237113402061856,0,7,0,0,0,0
606,4,0.9455445544554455,3.15625,0,8,0,0,0,0
26,0,0.0,8.666666666666666,3,10,0,0,5,0
211,1,0.966824644549763,4.137254901960785,0,9,0,0,0,0
105,0,0.0,4.375,0,11,0,0,-5,0
93,0,0.0,15.5,1,12,0,0,0,0
105,0,0.0,4.375,0,11,0,0,-5,0
93,0,0.0,15.5,1,12,0,0,0,0
205,1,0.9560975609756097,3.253968253968254,0,9,0,0,0,0
102,0,0.0,3.4,0,11,0,0,-5,0
84,0,0.0,10.5,1,12,0,0,0,0
102,0,0.0,3.4,0,11,0,0,-5,0
84,0,0.0,10.5,1,12,0,0,0,0
161,1,0.9192546583850931,2.3333333333333335,0,9,0,0,0,0
80,0,0.0,2.4242424242424243,0,11,0,0,-5,0
62,0,0.0,5.636363636363637,1,12,0,0,0,0
35,0,0.0,8.75,0,13,0,0,0,0
80,0,0.0,2.4242424242424243,0,11,0,0,-5,0
62,0,0.0,5.636363636363637,1,12,0,0,0,0
35,0,0.0,8.75,0,13,0,0,0,0
20687,10,0.010247981824334123,133.46451612903226,0,4,0,0,5,0
20687,10,0.010247981824334123,135.20915032679738,85,5,0,0,0,1
257,0,0.0,28.555555555555557,0,6,0,0,0,0
145,1,0.15862068965517243,36.25,0,6,0,0,0,0
326,0,0.0,81.5,0,6,0,0,0,0
1130,40,0.5203539823008849,7.151898734177215,0,4,0,0,-5,0
730,37,0.8054794520547945,7.227722772277228,0,6,0,0,-5,0
255,13,0.8274509803921568,7.5,0,7,0,0,-5,0
114,7,0.8157894736842105,6.705882352941177,0,8,0,0,-5,0
140,6,0.8428571428571429,9.333333333333334,0,8,0,0,-5,0
300,14,0.8133333333333334,8.333333333333334,0,7,0,0,-5,0
146,7,0.7534246575342466,8.588235294117647,0,8,0,0,-5,0
29,0,0.0,29.0,0,9,0,0,-5,0
29,0,0.0,29.0,0,10,0,0,-5,0
153,7,0.8758169934640523,9.0,0,8,0,0,-5,0
173,10,0.7687861271676301,6.178571428571429,0,7,0,0,-5,0
148,9,0.8378378378378378,7.0476190476190474,0,8,0,0,-5,0
347,3,0.0,7.711111111111111,0,6,0,0,-5,0
71,0,0.0,3.55,1,7,0,0,-5,0
263,0,0.0,23.90909090909091,2,7,0,0,-5,0
184,0,0.0,26.285714285714285,0,8,0,0,0,0
122,0,0.0,122.0,0,9,0,0,5,0
44,0,0.0,22.0,0,9,0,0,-5,0
44,0,0.0,44.0,0,10,0,0,0,0
51,0,0.0,6.375,2,6,0,0,-5,0
56238,123,0.04121768199438102,57.798561151079134,0,3,0,0,5,0
108,1,0.0,2.4545454545454546,0,5,0,0,-5,0
108,1,0.0,2.511627906976744,0,6,0,0,-5,0
83,0,0.0,3.074074074074074,0,7,0,0,-5,0
34,0,0.0,2.4285714285714284,0,8,0,0,-5,0
33,0,0.0,4.714285714285714,0,8,0,0,0,0
33,0,0.0,5.5,0,9,0,0,0,0
53114,31,0.019147494069360244,84.84664536741214,0,4,0,1,0,0
53097,31,0.01915362449855924,87.04426229508196,0,5,1,0,5,1
42,0,0.0,10.5,0,6,0,0,0,0
42,0,0.0,14.0,0,7,0,0,0,0
42,0,0.0,21.0,0,8,0,0,0,0
53054,31,0.019169148414822635,87.83774834437087,0,6,0,0,0,0
53054,31,0.019169148414822635,87.98341625207297,0,7,0,0,0,0
204,0,0.0,17.0,0,8,0,0,0,0
204,0,0.0,18.545454545454547,0,9,0,0,0,0
204,0,0.0,20.4,0,10,0,0,0,0
204,0,0.0,22.666666666666668,0,11,0,0,0,0
204,0,0.0,25.5,0,12,0,0,0,0
204,0,0.0,102.0,1,13,0,0,0,0
52849,31,0.019243505080512403,89.72665534804754,0,8,0,0,0,0
52849,31,0.019243505080512403,89.87925170068027,0,9,0,0,0,0
52849,31,0.019243505080512403,90.03236797274276,0,10,0,0,0,0
52849,31,0.019243505080512403,90.18600682593856,0,11,0,0,0,0
52849,31,0.019243505080512403,90.34017094017094,0,12,0,0,0,0
171,0,0.0,57.0,0,13,0,0,0,0
171,0,0.0,85.5,0,14,0,0,0,0
52677,31,0.019306338629762516,90.82241379310345,0,13,0,0,0,0
5794,3,0.01674145667932344,148.56410256410257,0,14,0,0,0,0
5769,3,0.016814005893569076,160.25,15,15,0,0,5,0
31276,26,0.02730528200537153,92.53254437869822,0,14,0,0,0,0
31187,26,0.027383204540353354,93.0955223880597,106,15,0,0,5,0
4678,1,0.004916631038905515,103.95555555555555,0,14,0,0,0,0
4533,1,0.0050739024928303554,107.92857142857143,19,15,0,0,5,0
2860,0,0.0,119.16666666666667,0,14,0,0,0,0
2755,0,0.0,131.1904761904762,13,15,0,0,5,0
8065,1,0.005331680099194048,62.51937984496124,0,14,0,0,0,0
8029,1,0.005355586000747291,63.72222222222222,17,15,0,0,5,0
562,24,0.39501779359430605,4.886956521739131,0,5,0,0,0,0
562,24,0.39501779359430605,4.9298245614035086,0,6,0,0,0,0
243,1,0.0,6.75,0,7,0,0,0,0
243,1,0.0,6.942857142857143,0,8,0,0,-5,0
104,0,0.0,8.0,0,9,0,0,0,0
138,0,0.0,8.117647058823529,0,9,0,0,0,0
213,22,0.9014084507042254,4.531914893617022,0,7,0,0,0,0
213,22,0.9014084507042254,4.630434782608695,0,8,0,0,-5,0
104,1,0.28846153846153844,3.7142857142857144,0,7,0,0,0,0
104,1,0.28846153846153844,3.8518518518518516,0,8,0,0,-5,0
104,1,0.28846153846153844,4.0,0,9,0,0,0,0
60,1,0.5,30.0,0,10,0,0,-5,0
29,0,0.0,29.0,0,11,0,0,-5,0
27,0,0.0,13.5,1,10,0,0,-5,0
1257,0,0.0,57.13636363636363,0,5,0,0,-5,0
1257,0,0.0,59.857142857142854,0,6,0,0,0,0
179,0,0.0,10.529411764705882,0,7,0,0,0,0
179,0,0.0,11.1875,0,8,0,0,0,0
1077,0,0.0,538.5,0,7,0,0,0,0
1077,0,0.0,1077.0,0,8,0,0,0,0
1077,0,0.0,1077.0,0,9,0,0,-5,0
1178,67,0.9159592529711376,7.75,0,4,0,0,-5,0
33,0,0.0,4.714285714285714,0,5,0,0,0,0
33,0,0.0,5.5,0,6,0,0,0,0
34858,95,0.03981869298295944,57.144262295081965,0,3,0,0,5,0
108,1,0.0,2.4545454545454546,0,5,0,0,-5,0
108,1,0.0,2.511627906976744,0,6,0,0,-5,0
83,0,0.0,3.074074074074074,0,7,0,0,-5,0
34,0,0.0,2.4285714285714284,0,8,0,0,-5,0
33,0,0.0,4.714285714285714,0,8,0,0,0,0
33,0,0.0,5.5,0,9,0,0,0,0
31734,3,0.00274153904329741,120.66159695817491,0,4,0,1,0,0
56,1,0.19642857142857142,6.222222222222222,0,5,0,0,5,0
56,1,0.19642857142857142,7.0,0,6,0,0,0,0
56,1,0.19642857142857142,8.0,0,7,0,0,0,0
56,1,0.19642857142857142,9.333333333333334,0,8,0,0,0,0
31660,2,0.0024005053695514847,133.58649789029536,0,5,1,0,5,1
29,0,0.0,7.25,0,6,0,0,0,0
29,0,0.0,9.666666666666666,0,7,0,0,0,0
29,0,0.0,14.5,0,8,0,0,0,0
31630,2,0.002402782168827063,136.92640692640694,0,6,0,0,0,0
31630,2,0.002402782168827063,137.52173913043478,0,7,0,0,0,0
503,0,0.0,41.916666666666664,0,8,0,0,0,0
503,0,0.0,45.72727272727273,0,9,0,0,0,0
503,0,0.0,50.3,0,10,0,0,0,0
503,0,0.0,55.888888888888886,0,11,0,0,0,0
503,0,0.0,62.875,0,12,0,0,0,0
503,0,0.0,251.5,1,13,0,0,0,0
31126,2,0.0024416886204459295,144.10185185185185,0,8,0,0,0,0
31126,2,0.0024416886204459295,144.77209302325582,0,9,0,0,0,0
31126,2,0.0024416886204459295,145.44859813084113,0,10,0,0,0,0
31126,2,0.0024416886204459295,146.13145539906102,0,11,0,0,0,0
31126,2,0.0024416886204459295,146.82075471698113,0,12,0,0,0,0
41,0,0.0,13.666666666666666,0,13,0,0,0,0
41,0,0.0,20.5,0,14,0,0,0,0
31084,2,0.0024449877750611247,150.16425120772948,0,13,0,0,0,0
706,0,0.0,176.5,0,14,0,0,0,0
680,0,0.0,680.0,1,15,0,0,5,0
590,0,0.0,59.0,0,14,0,0,0,0
555,0,0.0,79.28571428571429,1,15,0,0,5,0
339,0,0.0,48.42857142857143,0,14,0,0,0,0
307,0,0.0,76.75,1,15,0,0,5,0
1046,0,0.0,174.33333333333334,0,14,0,0,0,0
987,0,0.0,329.0,3,15,0,0,5,0
298,0,0.0,74.5,0,14,0,0,0,0
275,0,0.0,275.0,1,15,0,0,5,0
530,0,0.0,132.5,0,14,0,0,0,0
503,0,0.0,503.0,1,15,0,0,5,0
806,0,0.0,201.5,0,14,0,0,0,0
777,0,0.0,777.0,1,15,0,0,5,0
412,0,0.0,103.0,0,14,0,0,0,0
353,0,0.0,353.0,1,15,0,0,5,0
481,0,0.0,120.25,0,14,0,0,0,0
462,0,0.0,462.0,1,15,0,0,5,0
503,1,0.03578528827037773,100.6,0,14,0,0,0,0
466,1,0.03862660944206009,233.0,1,15,0,0,5,0
187,0,0.0,46.75,0,14,0,0,0,0
133,0,0.0,133.0,1,15,0,0,5,0
744,0,0.0,93.0,0,14,0,0,0,0
700,0,0.0,140.0,3,15,0,0,5,0
6244,0,0.0,148.66666666666666,0,14,0,0,0,0
6187,0,0.0,158.64102564102564,20,15,0,0,5,0
16209,1,0.00357825899191807,228.29577464788733,0,14,0,0,0,0
16171,1,0.003586667491187929,237.80882352941177,35,15,0,0,5,0
1868,0,0.0,186.8,0,14,0,0,0,0
