Website;Privacy_Link;Privacy_Status;ToS_Link;ToS_Status;Privacy_Selector;Privacy_Remove;ToS_Selector;ToS_Remove
telekom.de;https://www.telekom.de/datenschutzhinweise/download/051.pdf;200;https://www.telekom.de/datenschutzhinweise/download/051.pdf;200;::PDF::;;::PDF::;
google.de;https://google.de/intl/de/policies/privacy/;200;https://google.de/intl/de/policies/terms/;200;body;script;body;script
amazon.de;https://amazon.de/gp/help/customer/display.html?nodeId=201909010&ref_=footer_privacy;200;https://amazon.de/gp/help/customer/display.html?nodeId=201909000&ref_=footer_cou;200;.help-service-content;;.help-service-content;
rzone.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
t-online.de;https://t-online.de/#datenschutz-manager;200;Nicht gefunden;n/a;main;script, nav.grid, header.grid, header, svg, svg.w-full, aside.shrink-0, aside, aside.p-12, aside.px-24, aside.py-16, div.z-teaser-hero-slider-navigation, ul.absolute, div.style_slidingContainer__TJT9f;;
spiegel.de;https://www.spiegel.de/datenschutz-spiegel;200;https://www.spiegel.de/nutzungsbedingungen;200;main;footer, header, svg#spon-twitter-xl, svg#spon-facebook-xl, svg#spon-mail-xl, svg#spon-copylink-xl, svg#spon-share-xl, svg#spon-twitter-l, svg#spon-facebook-l, svg#spon-mail-l, svg#spon-messenger-l, svg#spon-whatsapp-l, svg#spon-copylink-l, svg#spon-chevron-up-f-m, svg#spon-chevron-down-f-m, svg, svg#spon-external-flag-m, svg.align-middle, svg#spon-end-mark-l;main;footer, header, svg#spon-twitter-xl, svg#spon-facebook-xl, svg#spon-mail-xl, svg#spon-copylink-xl, svg#spon-share-xl, svg#spon-twitter-l, svg#spon-facebook-l, svg#spon-mail-l, svg#spon-messenger-l, svg#spon-whatsapp-l, svg#spon-copylink-l, svg#spon-mm-flag-l, svg#spon-11f-flag-l, svg.align-middle, svg#spon-external-flag-l, svg#spon-end-mark-l
welt.de;https://ec.europa.eu/info/sites/default/files/1_de_annexe_acte_autonome_cp_part1_v3.pdf;200;https://www.welt.de/bin/190129_WeltN24_AGB-Honorarregelungen_01-2019.pdf_bn-188589821.pdf;200;::PDF::;;::PDF::;
bild.de;https://cdn.klarna.com/1.0/shared/content/policy/data/de_de/data_protection.pdf;200;https://www.bild.de/corporate-site/agb/bild-de/artikel-agb-2952414.bild.html;200;::PDF::;;.article-body;
otto.de;https://d.otto.de/files/anfrageformular_ottopayments_otto.de.pdf;200;https://d.otto.de/files/20250901_Widerrufsbelehrung_OTTO.pdf;200;::PDF::;;::PDF::;
ebay.de;https://static.ebayinc.com/assets/Uploads/Documents/Responsible-AI-Policy.pdf;200;https://ir.ebaystatic.com/cr/v/c01/help/policy/policy/AGB_DE_2024.pdf;200;::PDF::;;::PDF::;
